"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"62","Jrue Holiday","Mil","G","32.8","55","33.1","25.3","15.7","146","0.863","513","0.534","354","0.384","0.551","0.581","19.7","5.1","7.3","1.2","0.4","2.9","24.8","26.9","32","10.9","117.1","108.3"
"63","D'Angelo Russell","Lal","G","27","6","27.6","25.3","14.1","17","0.824","43","0.581","36","0.472","0.639","0.665","19.2","4","6.2","0.3","0.2","2.2","23.2","25.3","29.3","11.3","128.2","113.3"
"64","Fred VanVleet","Tor","G","29","56","37","22.6","10.6","227","0.899","404","0.45","490","0.341","0.484","0.538","19.1","4.3","7","1.7","0.6","1.9","23.3","26.1","30.3","9","116.9","110.3"
"65","Domantas Sabonis","Sac","F-C","26.9","64","34.5","21.3","20.3","355","0.763","678","0.639","71","0.366","0.63","0.671","19","12.3","7","0.8","0.5","3","31.3","26","38.3","13.7","131.8","104.9"
"66","Franz Wagner","Orl","F","21.5","67","32.9","23.5","12.9","275","0.833","631","0.545","309","0.372","0.549","0.595","18.8","3.9","3.5","0.9","0.2","2.1","22.7","22.3","26.2","7.7","115.9","111.7"
"67","Devin Vassell","San","G-F","22.6","33","31","24.6","8.8","91","0.791","291","0.478","227","0.388","0.523","0.55","18.6","3.8","3.5","1.1","0.4","1.5","22.4","22.1","25.9","8.1","110.6","118.7"
"68","Kevin Porter Jr.","Hou","G-F","22.9","45","33.5","25","18.6","201","0.766","392","0.492","279","0.348","0.504","0.547","18.5","5.4","5.7","1.3","0.4","3.4","23.9","24.2","29.6","9.9","108.3","113.4"
"69","Spencer Dinwiddie","Bro","G","29.9","13","34.9","24.2","13.3","66","0.833","105","0.514","84","0.298","0.484","0.546","18.3","4","7.6","1.2","0.4","2.2","22.3","25.9","29.9","9.4","114.5","111.8"
"70","Deandre Ayton","Pho","C","24.6","58","30.4","23.3","11.9","176","0.744","754","0.601","23","0.304","0.597","0.619","18.2","10.2","1.9","0.6","0.8","1.8","28.4","20.1","30.3","9.3","119.8","104.1"
"71","Myles Turner","Ind","C-F","27","57","29.6","22","12.3","248","0.782","445","0.631","234","0.385","0.613","0.651","18","7.6","1.3","0.6","2.4","1.7","25.6","19.3","26.9","7.6","121.3","106.8"
"72","D'Angelo Russell","Min","G","27","54","32.9","22.7","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.6","113.1"
"73","Spencer Dinwiddie","Dal","G","29.9","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","121","113.6"
"74","Gary Trent Jr.","Tor","G-F","24.1","59","32.7","21.8","5.7","186","0.839","442","0.493","413","0.366","0.52","0.558","17.7","2.6","1.6","1.6","0.2","0.9","20.3","19.3","21.9","5.1","115.3","114.1"
"75","Nikola Vucevic","Chi","C","32.4","67","33.8","21.7","10.8","128","0.82","641","0.588","308","0.354","0.57","0.59","17.7","11.3","3.3","0.7","0.8","1.7","29","21","32.4","10.3","117.7","106.1"
"76","Buddy Hield","Ind","G","30.2","68","31.8","20.9","11.9","108","0.833","313","0.514","594","0.428","0.598","0.615","17.3","5","2.7","1.2","0.3","1.8","22.3","19.9","24.9","7.7","114.9","114.3"
"77","Mikal Bridges","Pho","F","26.5","56","36.4","19.2","9.3","174","0.897","503","0.503","261","0.387","0.529","0.574","17.2","4.3","3.6","1.2","0.8","1.4","21.6","20.8","25.2","7.1","118.8","112.3"
"78","Michael Porter Jr.","Den","F","24.7","51","28.9","22.2","8","99","0.808","292","0.589","362","0.412","0.605","0.624","17.1","5.3","1","0.6","0.5","1.1","22.4","18.1","23.4","6.2","118.3","110.1"
"79","Andrew Wiggins","Gol","F","28","37","32.2","21.4","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.4","109.3"
"80","Christian Wood","Dal","F","27.5","56","26.6","26.3","13.2","231","0.766","415","0.614","246","0.366","0.59","0.627","17.1","7.6","1.6","0.4","1.1","1.8","24.7","18.7","26.3","8.9","117","106"
"81","Jaren Jackson Jr.","Mem","F-C","23.5","49","27.8","23.4","10.9","221","0.792","384","0.57","218","0.339","0.548","0.597","17","6.6","0.9","1","3.2","1.5","23.7","17.9","24.5","6.7","116.6","99.3"
"82","Aaron Gordon","Den","F","27.5","56","30","21.2","12.2","267","0.629","474","0.643","145","0.372","0.624","0.638","16.8","6.8","2.9","0.8","0.8","1.5","23.6","19.7","26.5","9.2","127.1","111.2"
"83","Cameron Johnson","Bro","F","27","12","29.6","22.9","6.2","49","0.796","64","0.563","88","0.341","0.533","0.579","16.8","4.5","1.6","1.3","0.3","0.8","21.3","18.3","22.8","6.7","114.9","110.3"
"84","O.G. Anunoby","Tor","F","25.7","54","35.9","19.9","14.2","154","0.831","431","0.524","285","0.368","0.536","0.571","16.6","5.2","1.9","2","0.7","2.2","21.8","18.5","23.7","6.1","109","108.8"
"85","Bennedict Mathurin","Ind","G-F","20.7","67","27.8","25.2","12.6","384","0.828","549","0.485","279","0.315","0.481","0.559","16.6","4","1.4","0.6","0.1","1.8","20.6","18","22","6.5","108.9","114.9"
"86","Norman Powell","Lac","G","29.8","54","25.8","25.9","12.4","239","0.803","364","0.522","266","0.41","0.561","0.611","16.6","2.9","1.8","0.8","0.3","1.6","19.6","18.4","21.3","6.9","115","110.1"
"87","Josh Giddey","Okc","G","20.4","63","30.8","24.5","16.9","111","0.757","724","0.526","183","0.322","0.518","0.535","16.2","7.8","6.2","0.8","0.4","2.9","24","22.4","30.2","12","108.7","109.6"
"88","Evan Mobley","Cle","C","21.7","68","34.2","20.4","14.4","263","0.681","717","0.591","94","0.213","0.56","0.586","16","8.9","2.7","0.8","1.4","2","24.9","18.7","27.6","8.5","115.8","103.1"
"89","Russell Westbrook","Lal","G","34.3","52","28.7","28.8","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.6","106.9"
"90","Devonte' Graham","San","G","28.1","11","28.1","22.1","10.2","40","0.825","34","0.441","98","0.378","0.534","0.582","15.8","2.6","4.2","0.6","0.5","1.4","18.5","20","22.6","7.9","120.6","119.7"
"91","De'Andre Hunter","Atl","F-G","25.3","58","32","19.7","9.5","191","0.827","457","0.525","249","0.361","0.531","0.575","15.7","4.2","1.4","0.5","0.3","1.3","19.9","17.1","21.3","5.6","112.5","111"
"92","Scottie Barnes","Tor","F","21.6","65","35.3","20.4","13.2","219","0.772","673","0.496","199","0.302","0.486","0.525","15.6","7","4.8","1","0.9","2","22.6","20.4","27.4","9.1","112.6","111.9"
"93","Jaden Ivey","Det","G","21.1","62","30.2","24.8","19.1","299","0.732","512","0.459","269","0.331","0.472","0.524","15.4","3.9","4.9","0.9","0.3","3","19.3","20.3","24.2","8.8","103.1","111.6"
"94","Wendell Carter Jr.","Orl","C-F","23.9","45","29.9","21","16.7","169","0.74","321","0.617","164","0.341","0.581","0.616","15.3","8.8","2.4","0.4","0.6","2.2","24.1","17.8","26.6","9.2","117.1","105.9"
"95","Brook Lopez","Mil","C","34.9","66","30.5","19","11.2","149","0.765","430","0.614","322","0.379","0.594","0.616","15.3","6.6","1.3","0.5","2.5","1.4","21.9","16.5","23.2","6.7","119.7","105.4"
"96","P.J. Washington","Cha","F","24.6","65","32.8","19.9","10.1","152","0.737","474","0.511","376","0.354","0.519","0.543","15.3","4.9","2.4","0.9","1.2","1.5","20.2","17.7","22.5","6.9","107.5","111.1"
"97","Harrison Barnes","Sac","F","30.8","66","33","17","10.4","327","0.844","354","0.562","290","0.369","0.558","0.631","15.1","4.7","1.6","0.7","0.2","1.1","19.8","16.7","21.4","5.9","125.5","115.9"
"98","Kevin Huerter","Sac","G-F","24.5","63","30","19.4","11","117","0.709","294","0.612","421","0.399","0.604","0.618","15","3.3","2.9","1.1","0.3","1.4","18.3","18","21.2","7","118.6","111"
"99","Jakob Poeltl","Tor","C","27.4","12","28.4","18.1","11","41","0.561","113","0.69","0","0","0.69","0.683","14.9","9.2","2.5","1.8","1.7","1.2","24.1","17.4","26.6","9.9","136.2","103"
"100","Saddiq Bey","Det","F","23.9","52","28.8","21.3","8.2","209","0.861","313","0.46","293","0.345","0.488","0.552","14.8","4.7","1.6","1","0.2","1","19.5","16.4","21.1","6.7","114.7","115.6"
"101","Tobias Harris","Phi","F","30.7","62","33.1","18.5","9.2","103","0.874","453","0.563","277","0.379","0.565","0.59","14.8","5.8","2.5","1","0.5","1.2","20.6","17.3","23.1","7.2","117","109.7"
"102","Alperen Sengun","Hou","C","20.6","62","28.3","21.6","19.4","241","0.734","606","0.573","44","0.318","0.566","0.604","14.7","8.7","3.8","0.9","0.9","2.5","23.5","18.5","27.3","11.1","118.1","107.7"
"103","Malcolm Brogdon","Bos","G","30.3","57","25.6","22.8","12.9","148","0.878","354","0.508","253","0.455","0.581","0.621","14.6","4.2","3.7","0.6","0.3","1.6","18.9","18.3","22.6","9.5","121.4","108.8"
"104","Gordon Hayward","Cha","F","33","44","31.8","19.9","14.8","136","0.801","369","0.523","144","0.326","0.514","0.555","14.5","4.4","3.9","0.9","0.3","2","18.8","18.4","22.8","7.9","108.7","114.9"
"105","Jarrett Allen","Cle","C","24.9","62","33","16.4","13.2","202","0.728","563","0.657","9","0.111","0.649","0.673","14.4","9.8","1.7","0.8","1.2","1.4","24.2","16","25.8","7.5","132.6","104.5"
"106","Bogdan Bogdanovic","Atl","G","30.6","42","28.7","20.1","9.5","62","0.806","210","0.49","285","0.407","0.56","0.578","14.4","3.2","3","0.9","0.3","1.2","17.6","17.3","20.6","7.2","114.8","114.1"
"107","Tim Hardaway Jr.","Dal","G-F","31","62","30.3","20.8","6.5","145","0.759","258","0.419","491","0.383","0.521","0.547","14.4","3.6","1.8","0.7","0.2","0.8","18","16.1","19.7","6","109.4","114.3"
"108","Dillon Brooks","Mem","G-F","27.1","60","30.4","22.1","9.4","129","0.791","480","0.442","352","0.313","0.453","0.482","14.3","3.3","2.5","0.9","0.2","1.4","17.6","16.8","20.1","6.5","100.6","104.7"
"109","Collin Sexton","Uta","G","24.2","47","24","23.1","15.4","197","0.822","338","0.538","117","0.41","0.558","0.618","14.3","2.2","2.9","0.6","0.1","1.8","16.5","17.1","19.3","7.5","120.1","112"
"110","Bobby Portis","Mil","F","28.1","56","26.1","21.6","9.8","87","0.828","450","0.567","192","0.349","0.554","0.575","14","9.8","1.7","0.4","0.2","1.3","23.8","15.7","25.5","9.4","117.6","103.8"
"111","Jonas Valanciunas","Nor","C","30.9","65","24.5","23.3","16.2","190","0.821","564","0.582","94","0.351","0.574","0.614","14","9.6","1.7","0.2","0.5","2","23.6","15.7","25.3","10","117.3","100.7"
"112","Cameron Johnson","Pho","F","27","17","25.3","19.6","5.5","33","0.818","74","0.5","99","0.455","0.604","0.629","13.9","3.8","1.5","0.9","0.4","0.6","17.7","15.4","19.2","6.8","127.5","110"
"113","Luguentz Dort","Okc","G","23.9","61","30.2","20.2","10.3","213","0.775","386","0.448","331","0.335","0.474","0.521","13.8","4.2","2.2","1","0.3","1.3","18.1","16","20.3","6.7","109","107.6"
"114","Khris Middleton","Mil","F","31.6","24","23","27.9","15.8","72","0.889","171","0.485","110","0.309","0.477","0.531","13.8","4.2","4.5","0.8","0.1","2.2","18","18.4","22.5","11.1","109.1","103"
"115","Rudy Gobert","Min","C","30.7","56","30.5","16.3","18.1","267","0.652","436","0.679","3","0","0.674","0.688","13.7","11.6","1","0.8","1.4","1.7","25.2","14.6","26.2","7.1","128.8","103.6"
"116","Malik Monk","Sac","G","25.1","63","22.5","26","16","176","0.898","337","0.555","318","0.349","0.54","0.59","13.7","2.6","3.9","0.6","0.2","2","16.3","17.6","20.2","9.2","114","112.5"
"117","Markelle Fultz","Orl","G","24.8","47","29.8","20.9","17.8","116","0.793","453","0.536","65","0.308","0.527","0.561","13.6","4","5.5","1.5","0.4","2.4","17.6","19.1","23.1","9","112.4","109.8"
"118","Chris Paul","Pho","G","37.9","46","32.1","19.2","15.6","137","0.818","307","0.469","201","0.373","0.505","0.55","13.6","4.3","9.1","1.6","0.4","2","17.8","22.7","27","10.1","121.2","109.1"
"119","Cam Reddish","Por","F-G","23.5","13","30.4","18.9","15.3","32","0.844","61","0.59","72","0.361","0.564","0.602","13.6","3.3","2.7","1.3","0.2","1.8","16.9","16.3","19.6","6.5","113.3","113.7"
"120","Immanuel Quickley","Nyk","G","23.7","69","28.4","19.6","9.2","176","0.824","379","0.522","362","0.359","0.53","0.569","13.5","4.1","3.2","0.9","0.2","1.1","17.6","16.7","20.8","7.9","120.8","109.6"
"121","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.6","114.9"
"122","Jalen Williams","Okc","G-F","21.9","62","29.7","18.1","13.5","147","0.776","465","0.583","170","0.347","0.566","0.595","13.4","4.2","3.2","1.4","0.5","1.6","17.7","16.6","20.9","7.6","117.1","108.8"
"123","Trey Murphy III","Nor","F","22.7","65","29.7","16.2","7.6","134","0.91","241","0.606","378","0.397","0.599","0.637","13.3","3.7","1.4","1","0.5","0.8","17","14.7","18.4","5.5","126.2","110.1"
"124","Russell Westbrook","Lac","G","34.3","8","29.5","23.2","27.3","19","0.737","62","0.597","23","0.261","0.541","0.568","13.3","3.9","7.5","1.4","0.4","4","17.1","20.8","24.6","9.9","104.3","106.8"
"125","Jusuf Nurkic","Por","C","28.6","48","26.6","22.4","19.8","178","0.663","355","0.563","107","0.364","0.56","0.588","13.2","9.1","2.9","0.9","0.8","2.4","22.4","16.1","25.2","10.6","112.2","102.5"
"126","Eric Gordon","Hou","G","34.2","47","30.2","18.1","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.4","121.7"
"127","Rui Hachimura","Was","F","25.1","30","24.3","23.1","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.4","113.1"
"128","Alec Burks","Det","G","31.6","51","22","22.7","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.6","112.3"
"129","John Collins","Atl","F-C","25.5","58","30.2","17","10.7","138","0.819","388","0.629","186","0.253","0.548","0.585","12.8","6.6","1.2","0.6","1.1","1.2","19.4","14","20.6","6.2","113.9","107.3"
"130","Dennis Schroder","Lal","G","29.5","54","31","18.3","14.7","198","0.874","354","0.463","191","0.335","0.477","0.548","12.8","2.5","4.7","0.8","0.1","1.7","15.3","17.5","20","6.9","111.3","111.2"
"131","Lonnie Walker IV","Lal","G-F","24.2","49","25.2","20.2","8.4","100","0.87","268","0.519","233","0.365","0.532","0.569","12.7","2.1","1.3","0.6","0.3","0.9","14.8","13.9","16","5.2","110.1","113.2"
"132","James Wiseman","Det","C","22","10","25.8","20.3","17.5","21","0.619","85","0.635","9","0.222","0.606","0.615","12.7","8.4","0.6","0.2","1","2","21.1","13.3","21.7","6.2","108.1","106.4"
"133","Tre Jones","San","G","23.2","55","29","19.8","13.3","134","0.888","476","0.487","135","0.267","0.468","0.516","12.6","3.5","6.2","1.3","0.1","1.7","16.1","18.8","22.3","9","112.7","118.4"
"134","Nic Claxton","Bro","F-C","23.9","63","29.3","15.6","14.7","207","0.522","472","0.716","2","0","0.713","0.694","12.4","9.1","1.8","0.8","2.6","1.3","21.5","14.3","23.3","8","132.9","105"
"135","Cole Anthony","Orl","G","22.8","48","25.2","21.3","13.6","139","0.878","309","0.492","155","0.348","0.502","0.56","12.3","4.5","4","0.6","0.6","1.5","16.7","16.2","20.7","9.6","115.1","106.5"
"136","Terrence Ross","Pho","G-F","32.1","6","20.7","20.6","3.4","4","0.75","18","0.722","38","0.395","0.634","0.641","12.3","2.7","1.7","0.8","0","0.3","15","14","16.7","7.4","130.9","103.4"
"137","Kenyon Martin Jr.","Hou","F","22.2","67","27","16.6","12","173","0.665","396","0.674","176","0.318","0.614","0.63","12.2","5.5","1.6","0.5","0.4","1.2","17.7","13.7","19.3","7","123.5","115.5"
"138","Mason Plumlee","Cha","F-C","33","56","28.5","15.6","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134","106.5"
"139","Jabari Smith Jr.","Hou","F","19.8","64","30.3","18.4","11.4","163","0.791","371","0.48","328","0.302","0.467","0.507","12.2","7.1","1.2","0.5","0.9","1.4","19.3","13.5","20.5","6.2","104.7","111.3"
"140","Thomas Bryant","Lal","C-F","25.6","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.1","105.5"
"141","Bones Hyland","Den","G","22.5","42","19.5","28.4","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","110.1"
"142","Kelly Olynyk","Uta","F-C","31.9","56","28.3","17.3","22.1","186","0.839","252","0.575","195","0.4","0.586","0.643","12.1","5.6","3.3","0.9","0.6","2.3","17.7","15.4","20.9","8.6","118.3","105.6"
"143","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.2","110.5"
"144","Derrick White","Bos","G","28.7","68","28","17.6","10.6","154","0.87","310","0.548","313","0.374","0.555","0.597","12.1","3.4","3.9","0.7","0.9","1.1","15.5","16","19.4","7.8","124.3","108"
"145","Clint Capela","Atl","C","28.8","52","26.8","16.1","9","98","0.592","444","0.637","1","0","0.636","0.639","12","11.1","0.9","0.7","1.2","0.8","23.1","12.9","23.9","7.4","134.9","107.5"
"146","Kyle Lowry","Mia","G","37","45","33.3","17","17.1","119","0.849","159","0.503","276","0.337","0.505","0.554","12","4.3","5.2","1.1","0.4","2","16.3","17.2","21.5","7.7","112.6","106.9"
"147","Kris Dunn","Uta","G","29","8","22.4","21.6","13.6","10","0.8","57","0.579","19","0.368","0.572","0.591","11.9","4.6","4.4","1.8","0.6","1.5","16.5","16.3","20.9","11.1","120.9","102"
"148","Max Strus","Mia","G-F","27","67","29.2","17.7","8.3","84","0.881","202","0.564","486","0.34","0.525","0.55","11.9","3.4","2.1","0.6","0.2","0.9","15.3","14","17.5","6","111.8","109.1"
"149","Saddiq Bey","Atl","F","23.9","11","26.3","14.8","7.3","13","0.923","33","0.515","56","0.5","0.663","0.686","11.8","4","0.9","0.6","0.1","0.6","15.8","12.7","16.7","5.3","134.5","114.1"
"150","Marcus Morris Sr.","Lac","F","33.5","59","28.4","18","8","84","0.786","310","0.481","290","0.376","0.521","0.542","11.7","4.1","1.8","0.6","0.4","0.9","15.8","13.5","17.5","6.2","109.3","109.9"
"151","Keegan Murray","Sac","F","22.6","64","29.6","15.6","7.6","68","0.794","224","0.513","382","0.406","0.573","0.589","11.7","4.5","1.2","0.8","0.5","0.8","16.3","12.9","17.4","5.4","117.5","112.8"
"152","Jaden McDaniels","Min","F","22.5","65","30.7","15.2","14.2","110","0.718","354","0.602","215","0.381","0.591","0.608","11.6","3.9","2","0.9","1","1.4","15.4","13.6","17.5","5.8","115.3","107.8"
"153","Caris LeVert","Cle","G","28.5","64","30.1","18.9","13.9","153","0.719","375","0.445","269","0.364","0.488","0.519","11.5","3.9","3.9","0.9","0.3","1.6","15.4","15.4","19.3","7.4","107.4","106.5"
"154","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","110.9","116.6"
"155","Marcus Smart","Bos","G","29","51","32.4","17.6","19.7","99","0.768","221","0.507","277","0.339","0.508","0.537","11.4","3.3","6.5","1.5","0.4","2.4","14.7","18","21.3","7.7","111.1","106.8"
"156","John Wall","Lac","G","32.5","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102","109.5"
"157","Marvin Bagley III","Det","F","24","33","22.6","20.4","11.1","78","0.718","244","0.586","45","0.222","0.547","0.575","11.3","6.7","0.7","0.4","0.8","1.1","18","12","18.7","6.6","116.1","111.1"
"158","Malik Beasley","Lal","G","26.3","12","26","20.9","10.6","9","0.667","43","0.465","92","0.326","0.481","0.489","11.3","3.7","1.4","1","0","1.3","15","12.8","16.4","6","93","109.4"
"159","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.2","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.4"
"160","Kentavious Caldwell-Pope","Den","G","30.1","65","31.7","14.1","12.1","106","0.84","269","0.513","276","0.438","0.586","0.615","11.2","2.8","2.5","1.5","0.5","1.2","14","13.7","16.5","5.4","119.1","111.8"
"161","Jordan Nwora","Ind","F","24.5","10","20.2","22.1","9","14","0.643","50","0.58","41","0.366","0.566","0.576","11.2","3.6","1.9","0.8","0.2","0.9","14.8","13.1","16.7","8.4","114.2","114.4"
"162","Austin Reaves","Lal","G","24.8","50","27.6","15","16.4","161","0.87","188","0.617","163","0.387","0.6","0.665","11.2","2.8","2.7","0.5","0.4","1.4","14","13.9","16.7","6.4","124.9","112.5"
"163","Bruce Brown","Den","G-F","26.6","67","28.3","17.3","14.9","100","0.74","378","0.545","229","0.371","0.549","0.569","11.1","4","3.4","1","0.6","1.6","15.1","14.4","18.4","7.5","111.9","109"
"164","Moritz Wagner","Orl","F-C","25.9","47","20.7","21","13.7","154","0.844","202","0.634","149","0.309","0.561","0.626","11.1","4.8","1.6","0.7","0.2","1.2","15.9","12.7","17.5","8.5","122.9","102.7"
"165","Cameron Payne","Pho","G","28.6","35","21.9","25","16.5","53","0.736","203","0.448","152","0.362","0.489","0.51","11","2.3","4.8","0.8","0.2","2","13.3","15.8","18.1","9","104.2","107.9"
"166","Reggie Jackson","Lac","G","32.9","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.1","111.9"
"167","Jaylen Nowell","Min","G","23.7","62","19.5","24.9","9.4","97","0.784","374","0.537","224","0.295","0.502","0.528","10.9","2.6","2","0.6","0.1","1","13.5","12.9","15.6","7.9","106.4","111"
"168","Grayson Allen","Mil","G","27.4","63","27.9","14.7","11.5","115","0.904","175","0.52","324","0.404","0.576","0.618","10.8","3.3","2.4","0.8","0.2","1","14.1","13.1","16.5","6.3","124.7","109"
"169","Cam Thomas","Bro","G","21.4","49","16.9","27.6","11.7","162","0.858","279","0.466","113","0.389","0.5","0.573","10.8","1.8","1.5","0.4","0.1","1.1","12.6","12.3","14.1","7.3","110.1","114"
"170","Mike Conley","Uta","G","35.4","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.3","113.5"
"171","Josh Hart","Nyk","G","28","13","29.7","13","21.7","35","0.743","50","0.62","29","0.586","0.715","0.736","10.7","6.9","3.5","1.1","0.4","1.7","17.6","14.2","21.2","8.6","136.7","105.1"
"172","Jeremy Sochan","San","F","19.8","53","26.3","19.5","15.1","108","0.704","396","0.513","122","0.238","0.476","0.503","10.7","5.2","2.6","0.8","0.4","1.7","15.9","13.3","18.5","8","102.4","113.6"
"173","Zach Collins","San","F-C","25.3","55","21.9","20.5","19.7","119","0.756","326","0.564","111","0.369","0.562","0.594","10.6","6.2","2.7","0.5","0.7","1.9","16.8","13.3","19.5","10.3","112.1","106.5"
"174","Mike Conley","Min","G","35.4","10","31.2","15.4","12.5","19","0.895","38","0.421","53","0.358","0.489","0.533","10.6","3.1","5.1","1.3","0.2","1.3","13.7","15.7","18.8","7.1","116.7","116.1"
"175","Jalen McDaniels","Cha","F-C","25.1","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.6","106.7"
"176","Naz Reid","Min","C-F","23.5","60","18","23.8","14.4","101","0.653","289","0.654","188","0.34","0.597","0.61","10.6","4.9","1.1","0.6","0.8","1.3","15.5","11.7","16.6","8.6","111.8","100.1"
"177","Rui Hachimura","Lal","F","25.1","20","24.4","17.1","5.6","46","0.717","122","0.533","45","0.311","0.515","0.547","10.3","5.1","0.7","0.2","0.4","0.5","15.3","10.9","16","5.5","113.8","114"
"178","De'Anthony Melton","Phi","G","24.8","64","28.1","16.4","13.7","70","0.8","206","0.471","337","0.404","0.554","0.573","10.3","4.1","2.7","1.6","0.5","1.3","14.4","13","17.1","6.9","112.6","105.9"
"179","Victor Oladipo","Mia","G","30.9","36","27.2","20.1","17.4","71","0.761","169","0.467","173","0.306","0.463","0.497","10.3","3.3","3.5","1.4","0.3","2","13.6","13.8","17","7.2","97.4","104.9"
"180","Caleb Martin","Mia","F","27.5","58","29.8","14.8","12.3","97","0.794","263","0.536","206","0.374","0.547","0.577","10.2","5","1.6","1","0.5","1.1","15.2","11.8","16.7","5.8","113.7","108.1"
"181","Monte Morris","Was","G","27.7","54","27.8","15.3","11.1","69","0.812","264","0.534","177","0.401","0.561","0.584","10.2","3.4","5.2","0.7","0.2","1","13.6","15.4","18.9","8.1","125.2","114.1"
"182","Patrick Williams","Chi","F","21.5","67","28.6","15.3","13.2","87","0.862","323","0.514","223","0.413","0.557","0.584","10.2","4.1","1.3","0.8","0.8","1.2","14.3","11.5","15.6","5.3","110.4","110.1"
"183","Ivica Zubac","Lac","C","26","63","29.1","14.3","20.4","189","0.704","408","0.627","2","0","0.624","0.654","10.2","10","1","0.4","1.3","1.7","20.2","11.3","21.3","6.4","124.6","104.7"
"184","Eric Gordon","Lac","G","34.2","10","25","16.1","8.4","21","0.762","32","0.531","44","0.386","0.559","0.592","10.1","1.9","2.4","0.6","0.5","0.7","12","12.5","14.4","5.7","121.2","112.2"
"185","Tyus Jones","Mem","G","26.8","66","23.3","17.9","9.2","85","0.824","311","0.482","262","0.378","0.521","0.546","10.1","2.3","4.8","1.1","0.1","0.9","12.4","14.9","17.1","8.3","121.7","113.8"
"186","Brandon Clarke","Mem","F","26.5","56","19.5","17.6","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","130.9","99.8"
"187","Doug McDermott","San","F","31.2","57","20.6","18.8","10.4","54","0.741","202","0.52","254","0.417","0.579","0.592","10","2.2","1.5","0.2","0.1","0.9","12.1","11.4","13.6","6.2","112.8","116.8"
"188","Seth Curry","Bro","G","32.6","50","21.4","19.3","10.6","47","0.979","193","0.534","205","0.395","0.564","0.591","9.9","1.8","1.8","0.7","0.1","0.9","11.7","11.7","13.6","5.9","112.6","112.2"
"189","Quentin Grimes","Nyk","G","22.8","59","29.4","13.7","11.3","79","0.797","154","0.636","308","0.354","0.566","0.59","9.9","3.2","1.9","0.6","0.4","1","13.1","11.8","15","5.3","119","109.9"
