"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"555","Noah Vonleh","Bos","F","27.6","23","7.5","9.2","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.8","93.3"
"556","Malcolm Hill","Chi","F","27.4","5","1.8","19.3","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"557","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","113.8","93.8"
"558","Chima Moneke","Sac","F","27.2","2","4","26.5","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.6","97.4"
"559","Nerlens Noel","Bro","C-F","28.9","3","14.4","12.2","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.4","98.3"
"560","JD Davison","Bos","G","20.4","7","2.6","29.2","8.3","0","0","8","0.375","3","0","0.273","0.273","0.9","0.7","0.4","0.3","0","0.1","1.6","1.3","2","9.7","",""
"561","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.5","107.8"
"562","Vince Williams Jr.","Mem","G","22.5","11","4.7","11.9","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","88.9","100.9"
"563","Alex Len","Sac","C","29.7","16","3","15.7","36.7","4","0.75","9","0.556","1","0","0.5","0.553","0.8","0.9","0.3","0","0","0.4","1.8","1.1","2.1","8","",""
"564","Dereon Seabron","Nor","G","22.8","5","2.3","18.4","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"565","Thanasis Antetokounmpo","Mil","F","30.7","28","4","12.6","26.5","8","0.5","17","0.353","5","0","0.273","0.313","0.6","1","0.1","0.1","0.1","0.3","1.6","0.7","1.7","3.9","72.3","101.4"
"566","PJ Dozier","Sac","G-F","26.4","8","1.8","18.1","0","0","0","2","0.5","4","0.25","0.417","0.417","0.6","0.4","0","0.4","0","0","1","0.6","1","0","",""
"567","Vernon Carey Jr.","Was","F-C","22","11","2.6","16.6","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"568","Devon Dotson","Was","G","23.6","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.4","97.8"
"569","Udonis Haslem","Mia","F","42.8","6","7.6","12.5","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","50.9","97.6"
"570","Isaiah Todd","Was","F","21.4","4","3.2","13.8","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"571","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.3","106.8"
"572","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"573","John Butler Jr.","Por","F","20.3","9","3.4","7.2","0","0","0","1","1","4","0","0.2","0.2","0.2","0.2","0.1","0.1","0.3","0","0.4","0.3","0.6","1.9","",""
"574","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.6","92.7"
"575","Deonte Burton","Sac","G-F","29.1","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"576","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"577","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"578","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.3","119.7"
"579","Marko Simonovic","Chi","C","23.4","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"580","Alondes Williams","Bro","G","23.7","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.8"
"581","Lindell Wigginton","Mil","G","25","1","0.7","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"582","Omer Yurtseven","Mia","C","24.7","1","7.2","6.1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","69.3","105.6"
"583","Jamaree Bouyea","Was","G","23.7","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99.1"
