,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
202,203,Santi Aldama,Mem,F-C,22.2,63,22.1,16.0,9.4,114
203,204,Bol Bol,Orl,C-F,23.3,63,22.0,17.8,19.1,94
204,205,Hamidou Diallo,Det,G,24.6,56,17.8,21.8,15.9,148
205,206,Donte DiVincenzo,Gol,G,26.1,58,26.4,14.8,16.2,51
206,207,Gabe Vincent,Mia,G,26.7,55,26.4,17.6,15.0,69
207,208,Tari Eason,Hou,F,21.8,67,20.4,19.7,13.2,119
208,209,Jonathan Kuminga,Gol,F,20.4,54,20.2,19.8,17.4,102
209,210,Onyeka Okongwu,Atl,F-C,22.3,66,23.5,14.4,14.0,145
210,211,Jalen Smith,Ind,F-C,23.0,56,18.4,21.3,13.1,110
211,212,Malaki Branham,San,F,19.8,52,22.3,18.1,12.1,50
212,213,Dorian Finney-Smith,Dal,F,29.9,40,32.2,12.8,10.4,40
213,214,Jae'Sean Tate,Hou,F,27.4,27,21.8,18.8,16.5,59
214,215,Jose Alvarado,Nor,G,24.9,61,21.5,19.7,14.2,80
215,216,Ayo Dosunmu,Chi,G,23.2,65,27.1,14.9,15.2,74
216,217,Josh Green,Dal,G,22.3,48,25.1,14.6,15.1,84
217,218,Talen Horton-Tucker,Uta,G,22.3,54,18.3,23.8,17.6,107
218,219,Isaiah Joe,Okc,G,23.7,60,17.8,17.3,7.0,66
219,220,Terance Mann,Lac,G-F,26.4,68,23.4,15.3,12.8,94
220,221,Royce O'Neale,Bro,F,29.8,64,32.6,13.4,15.9,57
221,222,Mason Plumlee,Lac,F-C,33.0,10,21.5,15.1,30.2,41
222,223,Dario Saric,Okc,F,28.9,12,14.8,21.6,17.0,22
223,224,Kyle Anderson,Min,F-G,29.5,55,26.8,14.1,17.8,117
224,225,Dennis Smith Jr.,Cha,G,25.3,48,25.4,17.5,15.0,96
225,226,AJ Griffin,Atl,F,19.5,60,19.7,17.7,7.1,34
226,227,Aleksej Pokusevski,Okc,C,21.2,31,21.9,18.4,14.4,33
227,228,Deni Avdija,Was,F,22.2,66,25.9,16.2,16.5,141
228,229,Taurean Prince,Min,F,29.0,42,21.4,16.9,15.9,51
229,230,Coby White,Chi,G,23.1,59,22.3,17.3,10.0,60
230,231,Steven Adams,Mem,C,29.6,42,27.0,14.5,23.1,129
231,232,Keita Bates-Diop,San,F,27.1,53,21.2,15.9,10.6,103
232,233,Jalen Duren,Det,C,19.3,54,24.9,13.4,17.9,123
233,234,Daniel Gafford,Was,F-C,24.4,66,19.8,14.9,17.7,156
234,235,Gary Harris,Orl,G,28.5,37,24.9,13.0,9.0,28
235,236,Walker Kessler,Uta,C,21.6,64,22.3,12.9,13.7,129
236,237,Kevin Love,Cle,F-C,34.5,41,20.0,19.6,14.1,63
237,238,Shake Milton,Phi,G-F,26.5,63,20.2,18.6,15.4,95
238,239,Cedi Osman,Cle,F,27.9,65,20.3,18.1,9.1,90
239,240,Draymond Green,Gol,F,33.0,60,31.5,13.0,29.0,95
240,241,Damion Lee,Pho,G-F,30.4,67,21.0,16.1,14.6,102
241,242,Georges Niang,Phi,F,29.7,64,19.3,17.2,9.3,35
242,243,Cam Reddish,Nyk,F-G,23.5,20,21.9,16.2,9.9,33
243,244,Robert Williams III,Bos,C-F,25.4,28,24.2,11.8,14.8,32
244,245,Grant Williams,Bos,F,24.3,65,27.0,12.9,15.3,107
245,246,Jarred Vanderbilt,Uta,F,23.9,52,24.1,14.1,17.9,102
246,247,Eugene Omoruyi,Det,F,26.1,5,18.2,18.1,11.6,11
247,248,Mark Williams,Cha,C,21.2,37,17.7,16.6,13.7,78
248,249,Andrew Nembhard,Ind,G-F,23.2,61,26.8,14.9,17.1,42
249,250,Jevon Carter,Mil,G,27.5,67,22.5,15.3,13.2,36
250,251,Pat Connaughton,Mil,G,30.2,49,24.6,14.0,7.2,35
251,252,Chris Duarte,Ind,G,25.7,44,19.7,19.1,11.0,70
252,253,Trey Lyles,Sac,F,27.4,60,16.6,18.4,13.7,108
253,254,Terrence Ross,Orl,G-F,32.1,42,22.5,15.7,11.0,20
254,255,Kemba Walker,Dal,G,32.8,9,16.0,22.1,6.5,21
255,256,Kenrich Williams,Okc,G-F,28.3,53,22.8,13.7,8.5,39
256,257,Joe Harris,Bro,G-F,31.5,61,22.0,14.2,8.8,24
257,258,Tre Mann,Okc,G,22.1,58,18.2,20.8,10.7,50
258,259,Nick Richards,Cha,C,25.3,55,18.1,15.8,15.5,149
259,260,Shaedon Sharpe,Por,G,19.8,67,20.5,16.7,10.6,60
260,261,Jarred Vanderbilt,Lal,F,23.9,12,24.7,13.2,19.0,20
261,262,Duane Washington Jr.,Pho,G,23.0,31,12.7,32.6,11.7,24
262,263,Jeff Green,Den,F,36.5,44,19.3,17.3,12.9,86
263,264,Luke Kennard,Lac,G,26.7,35,20.7,15.1,12.4,20
264,265,T.J. McConnell,Ind,G,31.0,64,19.7,18.2,21.4,54
265,266,Nickeil Alexander-Walker,Min,G,24.5,9,17.0,19.3,7.7,9
266,267,Will Barton,Was,G,32.2,40,19.6,19.4,13.7,45
267,268,Larry Nance Jr.,Nor,F-C,30.2,51,22.0,12.7,12.3,71
268,269,Mitchell Robinson,Nyk,C-F,24.9,48,27.4,9.9,11.1,96
269,270,Willy Hernangomez,Nor,C-F,28.8,33,13.4,23.5,19.3,103
270,271,Edmond Sumner,Bro,G,27.2,47,14.5,22.2,14.8,99
271,272,Matisse Thybulle,Por,G-F,26.0,12,29.0,10.4,9.7,2
272,273,Torrey Craig,Pho,F,32.2,64,25.3,13.0,13.5,41
273,274,Jeremiah Robinson-Earl,Okc,F,22.4,34,20.2,14.8,7.5,38
274,275,Mo Bamba,Orl,C,24.8,40,17.0,16.3,9.3,51
275,276,Sandro Mamukelashvili,San,F-C,23.8,4,15.5,19.3,15.8,9
276,277,Troy Brown Jr.,Lal,G-F,23.6,62,24.7,12.3,9.8,35
277,278,Luke Kennard,Mem,G,26.7,10,21.4,11.7,8.7,8
278,279,Reggie Bullock,Dal,G-F,32.0,65,30.3,10.1,7.6,35
279,280,Dorian Finney-Smith,Bro,F,29.9,14,29.2,13.3,11.8,10
280,281,Romeo Langford,San,G-F,23.4,34,20.1,15.2,9.8,39
281,282,Kevin Love,Mia,F-C,34.5,9,21.5,16.7,14.8,14
282,283,Delon Wright,Was,G,30.9,39,24.3,12.4,14.8,42
283,284,Jaden Hardy,Dal,G,20.7,34,12.5,25.7,13.3,53
284,285,Bones Hyland,Lac,G,22.5,5,14.2,27.3,7.4,10
285,286,Joe Ingles,Mil,F-G,35.4,34,22.9,12.9,17.6,17
286,287,Ty Jerome,Gol,G-F,25.7,44,18.5,14.9,11.0,41
287,288,Anthony Lamb,Gol,F,25.1,50,20.1,13.9,15.0,45
288,289,Kevon Looney,Gol,F,27.1,68,23.4,10.5,10.7,120
289,290,Josh Okogie,Pho,G,24.5,57,16.8,18.8,14.4,132
290,291,Joshua Primo,San,G,20.2,4,23.4,18.2,29.5,9
291,292,Daniel Theis,Ind,F-C,30.9,7,15.5,20.2,6.4,12
292,293,Ben Simmons,Bro,G-F,26.6,42,26.3,14.4,29.2,57
293,294,James Wiseman,Gol,C,22.0,21,12.5,20.0,12.9,38
294,295,Brandon Boston Jr.,Lac,G,21.3,21,11.7,26.6,9.0,38
295,296,Evan Fournier,Nyk,G-F,30.4,23,18.0,18.6,11.2,21
296,297,Luka Garza,Min,C,24.2,24,8.9,27.1,9.6,50
297,298,Dwight Powell,Dal,F-C,31.6,63,19.9,12.5,20.3,149
298,299,Justise Winslow,Por,F-G,27.0,29,26.8,14.3,17.8,28
299,300,Terence Davis,Sac,G,25.8,52,13.2,21.6,13.3,35
300,301,Isaiah Jackson,Ind,F,21.2,50,15.4,17.5,14.4,112
301,302,Kendrick Nunn,Lal,G,27.6,39,13.5,23.3,11.0,21
302,303,Duncan Robinson,Mia,F,28.9,33,17.3,17.5,9.7,25
303,304,Aaron Wiggins,Okc,G-F,24.2,56,18.9,14.4,13.2,55
304,305,JaMychal Green,Gol,F-C,32.7,48,14.3,18.1,18.1,57
305,306,Isaac Okoro,Cle,F-G,22.1,70,21.5,12.3,10.5,99
306,307,Julian Champagnie,San,F,21.7,2,11.8,15.9,0.0,0
307,308,Goran Dragic,Chi,G,36.9,50,15.6,20.9,15.6,41
308,309,Patrick Beverley,Lal,G,34.7,45,26.9,10.6,14.8,50
309,310,Jock Landale,Pho,C,27.4,58,14.1,19.1,15.2,97
310,311,Nassir Little,Por,F-G,23.1,47,17.5,14.9,9.9,37
311,312,Isaiah Livers,Det,F,24.6,45,22.4,11.8,9.7,30
312,313,Kendrick Nunn,Was,G,27.6,19,14.4,20.8,16.6,10
313,314,David Roddy,Mem,F,22.0,54,16.7,17.1,13.4,53
314,315,Nickeil Alexander-Walker,Uta,G,24.5,36,14.7,18.4,20.9,39
315,316,R.J. Hampton,Det,G,22.1,8,15.9,17.7,17.3,16
316,317,Reggie Jackson,Den,G,32.9,9,20.1,19.3,11.6,8
317,318,Maxi Kleber,Dal,F,31.1,26,25.4,10.0,9.5,22
318,319,Yuta Watanabe,Bro,G-F,28.4,46,17.7,13.0,8.6,41
319,320,Andre Drummond,Chi,C,29.6,54,12.9,21.1,21.6,100
320,321,Sam Hauser,Bos,F,25.3,66,15.8,14.5,6.8,17
321,322,Mike Muscala,Okc,F-C,31.7,43,14.5,15.7,6.4,39
322,323,Dru Smith,Bro,G,25.2,5,11.3,20.7,3.8,1
323,324,Xavier Tillman,Mem,F,24.2,47,17.5,13.8,13.0,70
324,325,Obi Toppin,Nyk,F,25.0,55,14.5,19.0,8.9,37
325,326,Drew Eubanks,Por,F-C,26.1,66,19.7,11.4,17.3,103
326,327,Jalen McDaniels,Phi,F-C,25.1,13,15.9,16.0,11.0,25
327,328,Patty Mills,Bro,G,34.6,38,13.6,19.8,11.9,23
328,329,Trendon Watford,Por,F,22.3,51,17.6,14.7,21.4,73
329,330,Nicolas Batum,Lac,G-F,34.2,65,21.9,11.8,12.4,44
330,331,Jordan Nwora,Mil,F,24.5,38,15.7,17.6,14.7,43
331,332,Patrick Beverley,Chi,G,34.7,8,28.7,8.8,17.0,11
332,333,Javonte Green,Chi,G-F,29.6,28,16.0,14.0,16.1,43
333,334,Stanley Johnson,San,F-G,26.8,30,15.6,15.3,21.1,39
334,335,Charles Bassey,San,C-F,22.4,34,14.7,15.8,23.5,37
335,336,Oshae Brissett,Ind,F-G,24.7,52,16.1,15.0,8.2,95
336,337,Wenyen Gabriel,Lal,F,26.0,54,14.9,14.6,14.3,63
337,338,Jordan Goodwin,Was,G,24.4,48,17.4,15.8,14.9,49
338,339,Davion Mitchell,Sac,G,24.5,65,18.1,14.2,13.8,28
339,340,Dario Saric,Pho,F,28.9,37,14.4,18.7,16.8,44
340,341,Jaylin Williams,Okc,F,20.7,36,17.9,13.7,13.2,35
341,342,Ochai Agbaji,Uta,G,22.9,45,17.3,13.0,8.7,31
342,343,Vlatko Cancar,Den,F,25.9,49,16.3,13.8,13.3,34
343,344,Robert Covington,Lac,F,32.2,38,16.4,15.5,11.1,34
344,345,Jae Crowder,Mil,F,32.7,9,18.0,11.7,9.7,9
345,346,Dewayne Dedmon,Mia,C,33.6,30,11.7,21.1,12.8,44
346,347,Ousmane Dieng,Okc,F,19.8,25,16.4,15.4,10.5,17
347,348,R.J. Hampton,Orl,G,22.1,26,13.9,18.1,15.5,37
348,349,Mike Muscala,Bos,F-C,31.7,9,17.0,14.6,10.0,2
349,350,Goga Bitadze,Orl,C-F,23.6,5,12.2,15.9,4.9,6
350,351,Alex Caruso,Chi,G,29.0,57,24.1,11.2,22.7,69
351,352,Kevin Knox II,Det,F,23.6,42,14.1,16.1,15.1,33
352,353,John Konchar,Mem,G,27.0,58,21.5,10.6,9.8,31
353,354,Saben Lee,Pho,G,23.7,20,14.6,18.2,19.2,47
354,355,Theo Maledon,Cha,G,21.8,36,16.1,15.6,18.2,56
355,356,Derrick Rose,Nyk,G,34.4,27,12.5,23.7,12.1,12
356,357,Montrezl Harrell,Phi,F-C,29.1,51,12.3,18.1,14.3,85
357,358,Jaxson Hayes,Nor,C-F,22.8,41,14.2,15.6,16.9,83
358,359,Cory Joseph,Det,G,31.6,49,17.3,14.6,14.1,51
359,360,Nikola Jovic,Mia,F,19.8,15,13.6,18.9,12.6,19
360,361,Otto Porter Jr.,Tor,F,29.8,8,18.3,10.9,11.6,8
361,362,Darius Bazley,Okc,F-G,22.7,36,15.4,15.7,12.2,65
362,363,Lamar Stevens,Cle,F,25.7,50,18.1,13.6,9.4,47
363,364,MarJon Beauchamp,Mil,F,22.4,41,14.0,18.6,15.3,29
364,365,Josh Christopher,Hou,G,21.3,49,11.5,21.4,16.5,44
365,366,Devonte' Graham,Nor,G,28.1,53,15.3,15.0,10.5,59
366,367,Jalen Johnson,Atl,F,21.2,62,14.7,15.2,10.0,64
367,368,Ricky Rubio,Cle,G,32.4,22,16.8,18.1,15.2,25
368,369,Kira Lewis Jr.,Nor,G,21.9,20,10.9,20.0,10.7,20
369,370,Lindy Waters III,Okc,F,25.6,31,12.1,16.1,5.9,18
370,371,Zeke Nnaji,Den,F-C,22.2,44,13.3,14.6,11.6,54
371,372,Austin Rivers,Min,G,30.6,50,20.1,10.5,10.0,39
372,373,Ziaire Williams,Mem,F,21.5,34,15.1,16.8,16.8,17
373,374,Patrick Baldwin Jr.,Gol,F,20.3,23,8.8,23.2,9.1,6
374,375,Rudy Gay,Uta,F-G,36.6,52,14.5,17.3,11.9,44
375,376,George Hill,Mil,G,36.9,35,19.1,11.3,16.9,46
376,377,Justin Holiday,Dal,F-G,33.9,8,18.7,13.0,11.9,2
377,378,Jonathan Isaac,Orl,F,25.4,11,11.3,21.2,7.0,9
378,379,Cody Martin,Cha,F,27.5,7,19.1,12.9,5.2,7
379,380,Chimezie Metu,Sac,F-C,26.0,53,11.1,16.8,13.4,50
380,381,Thomas Bryant,Den,C-F,25.6,11,12.1,17.5,13.0,17
381,382,Isaiah Hartenstein,Nyk,C-F,24.9,70,19.5,11.4,16.1,58
382,383,Derrick Jones Jr.,Chi,F,26.1,51,14.0,13.9,10.6,68
383,384,Svi Mykhailiuk,Cha,G-F,25.8,7,13.4,15.8,9.0,5
384,385,Eugene Omoruyi,Okc,F,26.1,23,11.8,18.8,14.5,28
385,386,Malachi Flynn,Tor,G,24.8,43,13.7,16.5,8.2,24
386,387,DeAndre Jordan,Den,C,34.6,35,14.3,13.6,30.2,41
387,388,Garrison Mathews,Hou,G,26.4,45,13.4,14.3,9.6,45
388,389,Dean Wade,Cle,F-C,26.3,37,20.3,10.2,8.6,23
389,390,Blake Griffin,Bos,F,34.0,30,14.4,13.4,13.2,24
390,391,Chuma Okeke,Orl,F,24.6,22,18.8,11.8,10.5,21
391,392,Payton Pritchard,Bos,G,25.1,45,12.5,18.9,13.1,15
392,393,TyTy Washington Jr.,Hou,G,21.3,29,13.8,18.0,8.4,16
393,394,Blake Wesley,San,G,20.0,22,15.8,18.7,23.6,21
394,395,Cody Zeller,Mia,F-C,30.4,10,13.0,16.0,21.4,23
395,396,Moses Brown,Lac,C,23.4,34,8.5,21.6,12.7,72
396,397,Simone Fontecchio,Uta,F,27.3,39,11.6,19.1,12.4,32
397,398,A.J. Green,Mil,G,23.5,30,9.7,17.1,6.9,4
398,399,Haywood Highsmith,Mia,F,26.3,45,19.0,12.2,15.5,24
399,400,Damian Jones,Uta,C,27.7,7,15.2,9.5,22.4,5
400,401,Moses Moody,Gol,G,20.8,51,13.2,14.6,13.9,44
401,402,Justin Holiday,Atl,F-G,33.9,28,14.7,14.1,8.8,0
402,403,Johnny Juzang,Uta,G,22.0,6,11.4,19.4,6.5,2
403,404,Mo Bamba,Lal,C,24.8,7,11.5,19.2,24.8,11
404,405,Dalano Banton,Tor,F,23.3,27,9.3,23.3,12.4,19
405,406,Jamal Cain,Mia,F,24.0,15,12.4,14.5,7.4,16
406,407,Jarrett Culver,Atl,G-F,24.1,10,13.7,17.2,13.9,13
407,408,Danuel House Jr.,Phi,F-G,29.8,43,14.2,12.5,11.7,42
408,409,Daishen Nix,Hou,G,21.1,47,16.7,15.2,25.2,34
409,410,Thaddeus Young,Tor,F,34.7,54,14.7,13.5,17.5,26
410,411,Davis Bertans,Dal,F,30.3,36,10.6,15.9,7.0,12
411,412,James Bouknight,Cha,G,22.5,26,13.6,17.8,13.4,22
412,413,Ish Wainright,Pho,F,28.5,49,15.1,12.5,10.2,25
413,414,Christian Braun,Den,G,21.9,62,14.4,12.3,11.6,46
414,415,Dyson Daniels,Nor,G,20.0,46,19.3,11.4,21.6,35
415,416,Admiral Schofield,Orl,F,26.0,31,11.9,12.8,5.9,19
416,417,Bruno Fernando,Hou,F-C,24.6,31,11.7,15.1,17.7,44
417,418,Serge Ibaka,Mil,F,33.5,16,11.6,16.1,16.9,13
418,419,JaVale McGee,Dal,C-F,35.1,36,8.1,23.4,22.6,32
419,420,Gary Payton II,Por,G,30.3,15,17.1,9.3,22.5,4
420,421,Isaiah Roby,San,F,25.1,42,11.3,17.8,16.6,41
421,422,Day'Ron Sharpe,Bro,F,21.3,36,11.2,18.7,22.3,28
422,423,Danny Green,Cle,G,35.7,4,9.1,16.5,22.3,1
423,424,Aaron Holiday,Atl,G,26.4,53,13.8,13.4,13.7,28
424,425,Keon Johnson,Por,G,21.0,35,9.6,24.9,19.1,28
425,426,Rodney McGruder,Det,G,31.6,27,13.2,12.5,9.2,17
426,427,Dewayne Dedmon,Phi,C,33.6,1,4.8,18.6,0.0,0
427,428,Caleb Houstan,Orl,G,20.2,39,15.4,10.8,8.3,13
428,429,Orlando Robinson,Mia,C,22.7,29,13.7,12.6,14.8,29
429,430,Matt Ryan,Lal,F,25.9,12,10.8,17.7,5.7,5
430,431,Jamaree Bouyea,Mia,G,23.7,4,16.3,12.2,23.2,2
431,432,Darius Days,Hou,F,23.4,4,6.3,21.3,0.0,2
432,433,Nathan Knight,Min,F-C,25.5,34,8.1,18.2,20.1,53
433,434,Furkan Korkmaz,Phi,G-F,25.6,27,9.8,19.5,18.6,30
434,435,Matt Ryan,Min,F,25.9,20,8.7,16.0,6.4,7
435,436,Bismack Biyombo,Pho,C,30.5,48,13.6,13.4,23.6,51
436,437,Amir Coffey,Lac,G-F,25.7,44,13.5,13.6,11.3,57
