,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
518,519,Ryan Rollins,Gol,G,20.7,12,5.2,26.1,43.9,6
519,520,Greg Brown III,Por,F,21.5,16,5.8,18.4,17.6,12
520,521,Trevor Hudgins,Hou,G,24.0,5,5.7,16.6,9.6,3
521,522,Alize Johnson,San,F,26.9,4,7.4,15.3,39.1,2
522,523,Kenneth Lofton Jr.,Mem,F,20.6,12,3.4,26.7,8.2,5
523,524,Juan Toscano-Anderson,Uta,F,29.9,8,11.2,10.7,17.4,0
524,525,Quenton Jackson,Was,G,24.5,3,2.6,16.8,0.0,0
525,526,Dalen Terry,Chi,F,20.7,27,4.8,17.0,13.0,10
526,527,Tony Bradley,Chi,C-F,25.2,12,2.8,19.4,7.4,4
527,528,Mamadi Diakite,Cle,F,26.1,16,6.2,14.5,18.8,0
528,529,Andre Iguodala,Gol,G-F,39.1,7,13.8,9.1,42.9,0
529,530,Svi Mykhailiuk,Nyk,G-F,25.8,13,3.1,17.4,14.0,5
530,531,Peyton Watson,Den,G,20.5,14,3.2,21.2,9.5,2
531,532,Buddy Boeheim,Det,F,23.3,2,3.4,18.7,0.0,0
532,533,Kendall Brown,Ind,G,19.8,6,6.7,10.3,21.7,2
533,534,Carlik Jones,Chi,G,25.2,2,11.4,15.0,16.4,4
534,535,Frank Kaminsky,Hou,F-C,29.9,6,5.9,14.8,0.0,4
535,536,Trevor Keels,Nyk,G,19.5,2,2.0,33.0,0.0,0
536,537,Garrison Mathews,Atl,G,26.4,2,2.9,7.3,0.0,0
537,538,Wendell Moore Jr.,Min,G,21.5,25,5.8,14.6,16.9,5
538,539,Markieff Morris,Dal,F,33.5,4,4.8,16.7,28.6,0
539,540,Davon Reed,Lal,G,27.8,4,4.9,10.3,0.0,4
540,541,Jordan Schakel,Was,G,24.7,2,3.1,14.1,0.0,0
541,542,Cole Swider,Lal,F,23.8,6,6.7,9.5,0.0,0
542,543,T.J. Warren,Pho,F,29.5,6,7.1,12.1,8.3,0
543,544,Matthew Dellavedova,Sac,G,32.5,27,6.6,13.1,19.5,7
544,545,Facundo Campazzo,Dal,G,32.0,8,6.5,14.6,18.5,2
545,546,Braxton Key,Det,F,26.1,3,3.0,8.8,0.0,2
546,547,Vit Krejci,Atl,G,22.7,22,5.6,11.7,12.0,2
547,548,KZ Okpala,Sac,F-G,23.9,35,7.1,8.4,15.4,8
548,549,Micah Potter,Uta,F,24.9,3,4.8,5.8,0.0,0
549,550,Tyrese Martin,Atl,G,24.0,13,3.5,16.6,5.7,2
550,551,Jack White,Den,F,25.6,16,3.2,15.6,5.8,3
551,552,Johnny Davis,Was,G,21.0,14,4.9,13.5,9.8,3
552,553,Kessler Edwards,Bro,F,22.6,14,5.7,16.1,14.2,2
553,554,Isaiah Mobley,Cle,F,23.5,8,3.3,13.7,0.0,0
554,555,Noah Vonleh,Bos,F,27.6,23,7.5,9.2,31.0,2
555,556,Malcolm Hill,Chi,F,27.4,5,1.8,19.3,0.0,0
556,557,Mfiondu Kabengele,Bos,F-C,25.6,2,7.0,9.4,33.3,0
557,558,Chima Moneke,Sac,F,27.2,2,4.0,26.5,50.0,2
